Project Key,Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Status,Epic Link,Labels,Sprint
BWC,E01,,Epic,Agile planning and product documentation,"Epic from Knowledge Base product backlog structure: Agile planning and product documentation.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e01",
BWC,E02,,Epic,"Repository, environment, and architecture setup","Epic from Knowledge Base product backlog structure: Repository, environment, and architecture setup.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e02",
BWC,E03,,Epic,Database schema and migrations,"Epic from Knowledge Base product backlog structure: Database schema and migrations.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e03",
BWC,E04,,Epic,Backend foundation,"Epic from Knowledge Base product backlog structure: Backend foundation.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e04",
BWC,E05,,Epic,Frontend foundation,"Epic from Knowledge Base product backlog structure: Frontend foundation.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e05",
BWC,E06,,Epic,"Authentication, users, and roles","Epic from Knowledge Base product backlog structure: Authentication, users, and roles.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e06",
BWC,E07,,Epic,Customer and prospect management,"Epic from Knowledge Base product backlog structure: Customer and prospect management.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e07",
BWC,E08,,Epic,Beneficiary management,"Epic from Knowledge Base product backlog structure: Beneficiary management.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e08",
BWC,E09,,Epic,"Consent, opt-out, and eligibility","Epic from Knowledge Base product backlog structure: Consent, opt-out, and eligibility.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e09",
BWC,E10,,Epic,Product management,"Epic from Knowledge Base product backlog structure: Product management.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e10",
BWC,E11,,Epic,Product ownership and payment records,"Epic from Knowledge Base product backlog structure: Product ownership and payment records.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e11",
BWC,E12,,Epic,Segmentation,"Epic from Knowledge Base product backlog structure: Segmentation.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e12",
BWC,E13,,Epic,Campaign management,"Epic from Knowledge Base product backlog structure: Campaign management.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e13",
BWC,E14,,Epic,Compliance review,"Epic from Knowledge Base product backlog structure: Compliance review.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e14",
BWC,E15,,Epic,Recipient preview and campaign launch,"Epic from Knowledge Base product backlog structure: Recipient preview and campaign launch.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e15",
BWC,E16,,Epic,Communication tracking,"Epic from Knowledge Base product backlog structure: Communication tracking.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e16",
BWC,E17,,Epic,Follow-up management,"Epic from Knowledge Base product backlog structure: Follow-up management.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e17",
BWC,E18,,Epic,Reminder scheduling,"Epic from Knowledge Base product backlog structure: Reminder scheduling.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e18",
BWC,E19,,Epic,Analytics,"Epic from Knowledge Base product backlog structure: Analytics.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e19",
BWC,E20,,Epic,Reports,"Epic from Knowledge Base product backlog structure: Reports.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e20",
BWC,E21,,Epic,AI-assisted features,"Epic from Knowledge Base product backlog structure: AI-assisted features.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",High,To Do,,"bwc,solo-scrum,epic,e21",
BWC,E22,,Epic,Audit logging,"Epic from Knowledge Base product backlog structure: Audit logging.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e22",
BWC,E23,,Epic,Security hardening,"Epic from Knowledge Base product backlog structure: Security hardening.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e23",
BWC,E24,,Epic,Testing and quality assurance,"Epic from Knowledge Base product backlog structure: Testing and quality assurance.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e24",
